Tag,Zeit,Feinstaub,Ozon,Stickstoff,Luftqualitätsindex,Year
2017-04-23,22:00,7,78,12,gut,2017
2017-04-23,23:00,7,71,15,gut,2017
2017-04-23,24:00,7,54,27,gut,2017
2018-04-29,01:00,19,58,20,sehr gut,2018
2018-04-29,02:00,18,42,31,gut,2018
2018-04-29,03:00,18,26,41,mäßig,2018
2018-04-29,04:00,18,14,53,mäßig,2018
2018-04-29,05:00,18,17,46,mäßig,2018
2018-04-29,06:00,18,14,46,mäßig,2018
2018-04-29,07:00,18,4,54,mäßig,2018
2018-04-29,08:00,19,17,46,mäßig,2018
2018-04-29,09:00,18,57,19,sehr gut,2018
2018-04-29,10:00,18,68,10,gut,2018
2018-04-29,11:00,18,75,8,gut,2018
2018-04-29,12:00,18,82,5,gut,2018
2018-04-29,13:00,17,91,2,gut,2018
2018-04-29,14:00,17,93,4,gut,2018
2018-04-29,15:00,17,92,6,gut,2018
2018-04-29,16:00,16,89,7,gut,2018
2018-04-29,18:00,16,88,7,gut,2018
2018-04-29,19:00,17,85,7,gut,2018
2018-04-29,20:00,17,76,12,gut,2018
2018-04-29,21:00,17,75,12,gut,2018
2018-04-29,22:00,17,73,13,gut,2018
2018-04-29,23:00,17,69,13,gut,2018
2018-04-29,24:00,18,65,12,gut,2018
2019-04-28,01:00,19,49,24,gut,2019
2019-04-28,02:00,17,46,16,sehr gut,2019
2019-04-28,03:00,16,31,25,gut,2019
2019-04-28,04:00,14,36,17,sehr gut,2019
2019-04-28,05:00,13,33,19,sehr gut,2019
2019-04-28,06:00,11,42,13,sehr gut,2019
2019-04-28,07:00,10,34,20,sehr gut,2019
2019-04-28,08:00,9,34,16,sehr gut,2019
2019-04-28,09:00,8,36,15,sehr gut,2019
2019-04-28,10:00,7,36,16,sehr gut,2019
2019-04-28,11:00,7,30,23,gut,2019
2019-04-28,12:00,7,45,14,sehr gut,2019
2019-04-28,13:00,7,56,12,sehr gut,2019
2019-04-28,14:00,7,61,10,gut,2019
2019-04-28,15:00,7,67,7,gut,2019
2019-04-28,16:00,7,72,5,gut,2019
2019-04-28,17:00,7,74,5,gut,2019
2019-04-28,18:00,7,76,5,gut,2019
2019-04-28,19:00,7,76,7,gut,2019
2019-04-28,20:00,7,67,10,gut,2019
2019-04-28,21:00,7,59,12,sehr gut,2019
2019-04-28,22:00,7,51,16,sehr gut,2019
2019-04-28,23:00,7,38,25,gut,2019
2019-04-28,24:00,7,37,28,gut,2019
2021-12-09,01:00,24,36,14,gut,2021
2021-12-09,02:00,24,43,9,gut,2021
2021-12-09,03:00,24,47,7,gut,2021
2021-12-09,04:00,24,49,5,gut,2021
2021-12-09,05:00,24,43,8,gut,2021
2021-12-09,06:00,24,35,15,gut,2021
2021-12-09,07:00,24,39,11,gut,2021
2021-12-09,08:00,23,27,26,gut,2021
2021-12-09,09:00,23,31,19,gut,2021
2021-12-09,10:00,23,38,13,gut,2021
2021-12-09,11:00,22,45,10,gut,2021
2021-12-09,12:00,22,50,9,gut,2021
2021-12-09,13:00,22,61,8,gut,2021
2021-12-09,14:00,22,65,9,gut,2021
2021-12-09,15:00,22,69,9,gut,2021
2021-12-09,16:00,22,72,9,gut,2021
2021-12-09,17:00,21,72,8,gut,2021
2021-12-09,18:00,20,67,8,gut,2021
2021-12-09,19:00,19,51,18,sehr gut,2021
2021-12-09,20:00,19,41,23,gut,2021
2021-12-09,21:00,18,35,25,gut,2021
2021-12-09,22:00,17,34,18,sehr gut,2021
2021-12-09,23:00,16,29,19,sehr gut,2021
2021-12-09,24:00,16,40,17,sehr gut,2021
2022-04-24,01:00,17,76,8,gut,2022
2022-04-24,02:00,17,66,9,gut,2022
2022-04-24,03:00,17,67,8,gut,2022
2022-04-24,04:00,17,71,5,gut,2022
2022-04-24,05:00,16,72,4,gut,2022
2022-04-24,06:00,16,70,5,gut,2022
2022-04-24,07:00,15,64,6,gut,2022
2022-04-24,08:00,14,65,7,gut,2022
2022-04-24,09:00,14,69,7,gut,2022
2022-04-24,10:00,14,70,8,gut,2022
2022-04-24,11:00,14,76,6,gut,2022
2022-04-24,12:00,14,78,5,gut,2022
2022-04-24,13:00,14,80,6,gut,2022
2022-04-24,14:00,14,81,2,gut,2022
2022-04-24,15:00,14,80,4,gut,2022
2022-04-24,16:00,14,79,5,gut,2022
2022-04-24,17:00,14,82,2,gut,2022
2022-04-24,18:00,13,80,4,gut,2022
2022-04-24,19:00,13,79,5,gut,2022
2022-04-24,20:00,13,79,6,gut,2022
2022-04-24,21:00,13,78,6,gut,2022
2022-04-24,22:00,13,75,7,gut,2022
2022-04-24,23:00,13,74,7,gut,2022
2022-04-24,24:00,13,73,6,gut,2022
2023-04-23,01:00,18,64,23,gut,2023
2023-04-23,02:00,18,64,21,gut,2023
2023-04-23,03:00,18,61,20,gut,2023
2023-04-23,04:00,18,54,20,gut,2023
2023-04-23,05:00,18,79,7,gut,2023
2023-04-23,06:00,18,91,7,gut,2023
2023-04-23,07:00,18,92,7,gut,2023
2023-04-23,08:00,17,94,9,gut,2023
2023-04-23,09:00,17,85,18,gut,2023
2023-04-23,10:00,16,86,18,gut,2023
2023-04-23,11:00,16,89,14,gut,2023
2023-04-23,12:00,15,82,23,gut,2023
2023-04-23,13:00,15,91,15,gut,2023
2023-04-23,14:00,15,96,14,gut,2023
2023-04-23,15:00,15,93,17,gut,2023
2023-04-23,16:00,15,93,14,gut,2023
2023-04-23,17:00,15,83,21,gut,2023
2023-04-23,18:00,15,77,13,gut,2023
2023-04-23,19:00,14,70,23,gut,2023
2023-04-23,20:00,14,50,37,gut,2023
2023-04-23,21:00,14,43,36,gut,2023
2023-04-23,22:00,14,47,32,gut,2023
2023-04-23,23:00,13,55,23,gut,2023
2023-04-23,24:00,13,53,22,gut,2023
