Platz,Pl.AK,Name,Startnr.,Verein/Team,AK,Finish,Year,Finish_Minutes
45,7,"Kühn, Simon (GER)",1042,TG Ötigheim,35-39,1900-01-01 02:29:33,2023,149.55
46,8,"Prof. Komass, Toms (LAT)",1057,FOLKAMNI / Jelgavas vieglatletikas klubs,35-39,1900-01-01 02:29:36,2023,149.6
47,5,"Lanziner, Peter (ITA)",1012,Südtirol Team Club,40-44,1900-01-01 02:29:40,2023,149.66666666666666
48,18,"Kalapodis, Georgios (GRE)",1004,AO POSEIDON LOUTRAKI,30-34,1900-01-01 02:29:43,2023,149.71666666666667
49,19,"Franke, Benjamin (GER)",1001,LT Haspa Marathon Hamburg,30-34,1900-01-01 02:30:30,2023,150.5
50,6,"Rømer Holm, Anders (DEN)",1039,Grindsted motion/runners united,40-44,1900-01-01 02:30:41,2023,150.68333333333334
51,1,"Fleisje, Henrik (NOR)",1048,–,45-49,1900-01-01 02:31:17,2023,151.28333333333333
52,20,"Abellan, Miguel (ESP)",P22,Turnerbund Hamburg Eilbeck,30-34,1900-01-01 02:31:54,2023,151.9
53,9,"Landström, Erik (SWE)",1038,Doxa AB,35-39,1900-01-01 02:32:01,2023,152.01666666666668
54,7,"Kendelbacher, Michael (GER)",1097,TSV Barsinghausen,40-44,1900-01-01 02:32:02,2023,152.03333333333333
55,21,"Prof. Nicodemou, Raphael (CYP)",1069,–,30-34,1900-01-01 02:32:20,2023,152.33333333333334
56,22,"Dr. Derboven, Thomas (BEL)",1054,AC Hulshout,30-34,1900-01-01 02:32:32,2023,152.53333333333333
57,17,"Thomas, Dan (GBR)",1063,Swindon Harriers,<30,1900-01-01 02:32:53,2023,152.88333333333333
58,23,"Gelbing, Marius (GER)",1106,TSG Söflingen,30-34,1900-01-01 02:32:58,2023,152.96666666666667
59,24,"Jankowski, Raoul (GER)",1007,Braunschweiger Laufclub,30-34,1900-01-01 02:33:03,2023,153.05
60,8,"Sørensen, Ole (DEN)",1084,Esbjerg Atletik og Motion,40-44,1900-01-01 02:33:15,2023,153.25
61,10,"Germain, Florent (FRA)",1071,–,35-39,1900-01-01 02:33:19,2023,153.31666666666666
62,18,"Te Brake, Mark (NED)",36,–,<30,1900-01-01 02:33:25,2023,153.41666666666666
63,11,"Ferner, Fritz (GER)",1056,CANYON Radpack,35-39,1900-01-01 02:33:38,2023,153.63333333333333
64,25,"Liebelt, Markus (GER)",1043,Trimali Sports,30-34,1900-01-01 02:33:45,2023,153.75
65,19,"Sambrook, Josh (GER)",1024,Berlin Harriers,<30,1900-01-01 02:33:54,2023,153.9
66,26,"Pacauskas, Dominykas (LTU)",1009,Love Streams Running,30-34,1900-01-01 02:34:04,2023,154.06666666666666
67,1,"Mey, Markus (GER)",1082,Milers Colonia 2020,50-54,1900-01-01 02:34:20,2023,154.33333333333334
68,20,"Ribeiro Diaz, Lucas (BRA)",1079,Veloz Run Club,<30,1900-01-01 02:34:27,2023,154.45
69,21,"Gebhard, Maximilian (GER)",1161,nextgendingmad,<30,1900-01-01 02:34:30,2023,154.5
70,12,"Smith, Axel (SWE)",1021,Björnstorps IF,35-39,1900-01-01 02:34:39,2023,154.65
71,13,"Gaub, Stefan (GER)",1111,VT Zweibrücken,35-39,1900-01-01 02:34:42,2023,154.7
72,27,"Klasen, Kevin (GER)",1028,Hamburg Running,30-34,1900-01-01 02:34:57,2023,154.95
73,14,"Zimmerer, Lorenz (GER)",1061,SG Niederwangen,35-39,1900-01-01 02:35:00,2023,155.0
74,15,"Prof. Wacko, Marcin (POL)",1053,Zoffee Team,35-39,1900-01-01 02:35:16,2023,155.26666666666668
75,22,"Brinker, Steffen (GER)",1109,Polizei Niedersachsen,<30,1900-01-01 02:35:21,2023,155.35
76,9,"Quinn, Kevin (GBR)",P 17,–,40-44,1900-01-01 02:35:28,2023,155.46666666666667
77,28,"Grace, Josh (GBR)",P 18,–,30-34,1900-01-01 02:35:30,2023,155.5
78,16,"Dr. Claus, Dieter (BEL)",1076,Smart Sport,35-39,1900-01-01 02:35:44,2023,155.73333333333332
79,29,"Ramos, Daverso (PER)",26,–,30-34,1900-01-01 02:35:51,2023,155.85
80,30,"O’Reilly, Sean (USA)",1254,–,30-34,1900-01-01 02:35:54,2023,155.9
81,17,"Prof. Dr. Wijnja, Hessel (NED)",1086,–,35-39,1900-01-01 02:36:06,2023,156.1
82,1,"Buccigrossi, Fabio (ITA)",15305,Sports Club Melegnano,55-59,1900-01-01 02:36:07,2023,156.11666666666667
83,31,"Müller, Daniel (GER)",1078,Triathlon Salzgitter / Team Erdinger Alkoholfrei,30-34,1900-01-01 02:36:09,2023,156.15
84,23,"Ciglaric, Miha (SLO)",1198,KALIBRI PRVE KLASE,<30,1900-01-01 02:36:17,2023,156.28333333333333
85,2,"Barrit, Frank (DEN)",1088,Esbjerg Atletik og Motion,45-49,1900-01-01 02:36:21,2023,156.35
86,32,"Sauthoff, Dean (GER)",1113,Polizei Niedersachsen,30-34,1900-01-01 02:36:23,2023,156.38333333333333
87,10,"Volgmann, Tobias (GER)",1112,LT Haspa Marathon Hamburg,40-44,1900-01-01 02:36:30,2023,156.5
88,33,"Kibarus, Mathew (KEN)",P 10,–,30-34,1900-01-01 02:36:33,2023,156.55
89,18,"Rauter, Monier (GER)",1154,Turnerbund Hamburg Eilbeck,35-39,1900-01-01 02:36:34,2023,156.56666666666666
90,11,"Dr. Gonnella, Dasos (GBR)",15306,Orion Harriers,40-44,1900-01-01 02:36:45,2023,156.75
91,24,"De Vocht, Andries (BEL)",1250,–,<30,1900-01-01 02:36:48,2023,156.8
92,34,"Obermeyer, Kilian (GER)",15307,LG Göttingen,30-34,1900-01-01 02:36:50,2023,156.83333333333334
93,35,"Rollnik, Jean-Pierre (GER)",1081,LT Haspa Marathon Hamburg,30-34,1900-01-01 02:36:52,2023,156.86666666666667
94,25,"Hasselbach, Alexander (GER)",1103,Polizei Niedersachsen,<30,1900-01-01 02:37:15,2023,157.25
95,19,"Peltoniemi, Ossi (FIN)",1060,Posion Pyrintö,35-39,1900-01-01 02:37:28,2023,157.46666666666667
96,26,"Liebrich, Johannes (GER)",1225,TSV Detag Wernberg,<30,1900-01-01 02:37:39,2023,157.65
97,36,"Deppe, Christoph (GER)",1087,1. LAV Rostock,30-34,1900-01-01 02:37:57,2023,157.95
98,37,"Paul, Dominik (GER)",1096,SV GO! Saar 05,30-34,1900-01-01 02:38:08,2023,158.13333333333333
99,20,"Dr. Paspatis, Alex (GRE)",1077,–,35-39,1900-01-01 02:38:14,2023,158.23333333333332
100,12,"Müller, Kay-Uwe (GER)",2135,–,40-44,1900-01-01 02:38:15,2023,158.25
101,2,"Gudmundsson, Stefan (ISL)",1062,Snik Atletik,50-54,1900-01-01 02:38:16,2023,158.26666666666668
102,21,"Keskerides, Michael (AUS)",1094,sanpel4lyf,35-39,1900-01-01 02:38:33,2023,158.55
103,27,"Makuszies, Henrik (GER)",1067,–,<30,1900-01-01 02:38:34,2023,158.56666666666666
104,38,"Rowland, Luke (GBR)",1049,Kent Athletic Club,30-34,1900-01-01 02:38:47,2023,158.78333333333333
105,39,"Schütt, Jannik (GER)",1090,LT Haspa Marathon Hamburg,30-34,1900-01-01 02:39:03,2023,159.05
107,40,"Mikolajek, Edgar (POL)",1115,SCC Berlin,30-34,1900-01-01 02:39:28,2023,159.46666666666667
108,41,"Gerwig, Florian (GER)",1539,–,30-34,1900-01-01 02:39:50,2023,159.83333333333334
109,3,"Achmüller, Hermann (ITA)",1044,Laufclub Pustertal,50-54,1900-01-01 02:39:57,2023,159.95
110,28,"Ladewig, Lasse Bo (GER)",1046,Hamburger SV,<30,1900-01-01 02:39:58,2023,159.96666666666667
111,22,"Dr. Finke, Axel (GBR)",1142,Cambridge & Coleridge AC,35-39,1900-01-01 02:40:10,2023,160.16666666666666
112,42,"Holz, Matthias (GER)",1156,–,30-34,1900-01-01 02:40:26,2023,160.43333333333334
113,13,"Jänicke, Gunther (GER)",1104,ASC Ulm/Neu-Ulm,40-44,1900-01-01 02:40:31,2023,160.51666666666668
114,43,"Guillod, Arnaud (FRA)",1101,–,30-34,1900-01-01 02:40:33,2023,160.55
115,23,"Höing, Jan (GER)",1068,–,35-39,1900-01-01 02:40:49,2023,160.81666666666666
116,44,"Bogucki, Patryk (POL)",1052,Patryk Bogucki - Strefa Biegania,30-34,1900-01-01 02:40:53,2023,160.88333333333333
117,24,"Exner, Christian (GER)",1114,Run fleet! Hamburg,35-39,1900-01-01 02:40:56,2023,160.93333333333334
118,14,"Babusci, Luigi (ITA)",1163,BSG Siemens,40-44,1900-01-01 02:40:59,2023,160.98333333333332
119,45,"Moray, Lucas (BEL)",35,–,30-34,1900-01-01 02:41:07,2023,161.11666666666667
120,29,"Huthsfeldt, Mats-Thorge (GER)",1253,–,<30,1900-01-01 02:41:19,2023,161.31666666666666
121,46,"Najmowicz, Jakub (POL)",1136,Patryk Bogucki - Strefa Biegania,30-34,1900-01-01 02:41:28,2023,161.46666666666667
122,30,"Wilkens, Jakob (GER)",1002,LT Haspa Marathon Hamburg,<30,1900-01-01 02:41:36,2023,161.6
123,15,"Lehmann, Karsten (GER)",15318,Serious Running,40-44,1900-01-01 02:41:37,2023,161.61666666666667
124,25,"Fischer, Manuel (GER)",1183,Laufteam Rennwerk,35-39,1900-01-01 02:41:44,2023,161.73333333333332
125,47,"Kafke, Sean (GER)",1265,Humboldthain Harriers,30-34,1900-01-01 02:41:56,2023,161.93333333333334
126,31,"Heleta, Ruslan (UKR)",15310,SV Werder Bremen,<30,1900-01-01 02:42:02,2023,162.03333333333333
127,3,"Fjellestad, Stian (NOR)",1248,–,45-49,1900-01-01 02:42:08,2023,162.13333333333333
128,32,"Heinemann, Jakob (SUI)",1255,–,<30,1900-01-01 02:42:11,2023,162.18333333333334
129,26,"Jin, Jing (CHN)",1318,Jotun BIL,35-39,1900-01-01 02:42:14,2023,162.23333333333332
130,16,"Yetim, Ahmet (TUR)",1157,–,40-44,1900-01-01 02:42:19,2023,162.31666666666666
131,48,"Esselborn, Tobias (GER)",1199,Lauf-Club Euskirchen,30-34,1900-01-01 02:42:26,2023,162.43333333333334
132,49,"Nagtegaal, Martijn (NED)",1121,Leiden Atletiek,30-34,1900-01-01 02:42:28,2023,162.46666666666667
133,50,"Große, Dirk (GER)",1191,Dextro Energy Sport Team,30-34,1900-01-01 02:42:30,2023,162.5
134,4,"Sarapuk, Krzysztof (POL)",1035,Aronpharma Team,50-54,1900-01-01 02:42:56,2023,162.93333333333334
135,27,"Gerhards, Sebastian (GER)",1168,Laufschule Bunert Düsseldorf,35-39,1900-01-01 02:42:58,2023,162.96666666666667
136,5,"Schröder, Nikas (GER)",1089,LET'S RUN Bremen,50-54,1900-01-01 02:42:59,2023,162.98333333333332
137,33,"Schmidt, Robin (GER)",1127,TSV Niederelsungen,<30,1900-01-01 02:43:03,2023,163.05
138,28,"Sauer, Felix (GER)",1100,–,35-39,1900-01-01 02:43:10,2023,163.16666666666666
139,34,"Stranz, Stephan (GER)",1107,LG Stadtwerke München,<30,1900-01-01 02:43:23,2023,163.38333333333333
140,35,"Formella, Nico (GER)",1306,Drescher Running Outdoor,<30,1900-01-01 02:43:27,2023,163.45
141,17,"Dr. Hida, Jamal (BEL)",1030,–,40-44,1900-01-01 02:43:28,2023,163.46666666666667
142,29,"Bolin, Ole (GER)",1224,Tricologne,35-39,1900-01-01 02:43:32,2023,163.53333333333333
143,51,"Müller, Christoph (GER)",1346,–,30-34,1900-01-01 02:43:33,2023,163.55
144,18,"Jørgensen, Kristian Pape (DEN)",1169,SIK80,40-44,1900-01-01 02:43:41,2023,163.68333333333334
145,19,"Lundsager, Jakob Stenby (DEN)",1251,–,40-44,1900-01-01 02:43:45,2023,163.75
146,4,"Mayr, Richard (GER)",1334,TG Viktoria Augsburg,45-49,1900-01-01 02:43:46,2023,163.76666666666668
147,52,"Prof. Theut, Morten (DEN)",1190,–,30-34,1900-01-01 02:43:49,2023,163.81666666666666
148,53,"Dr. Hertoghs, Lorenz (BEL)",1325,MISSION42,30-34,1900-01-01 02:44:02,2023,164.03333333333333
149,54,"Veres, Alex (ROU)",1171,West 4 Harriers,30-34,1900-01-01 02:44:05,2023,164.08333333333334
150,5,"Dr. Schoen, Matthias (GER)",1301,Berlin Harriers,45-49,1900-01-01 02:44:07,2023,164.11666666666667
151,6,"Dr. Wentges, Marek (GER)",1277,–,45-49,1900-01-01 02:44:11,2023,164.18333333333334
152,30,"Dr. Frahm, Michael (GER)",1233,–,35-39,1900-01-01 02:44:16,2023,164.26666666666668
153,20,"Becker, Christian (GER)",1226,TuS Deuz,40-44,1900-01-01 02:44:23,2023,164.38333333333333
154,36,"Arnold, Philipp (GER)",2234,LCO Lorsch,<30,1900-01-01 02:44:24,2023,164.4
155,55,"Prof. Welzel, Dominik (GER)",3380,Lauftreff Niederstetten,30-34,1900-01-01 02:44:25,2023,164.41666666666666
156,56,"Verhoeven, Sebastian (GER)",1354,–,30-34,1900-01-01 02:44:34,2023,164.56666666666666
157,21,"Schwanda, Michael (GER)",1338,TSV Ebermannstadt,40-44,1900-01-01 02:44:40,2023,164.66666666666666
158,22,"Säfström, Johan (SWE)",1117,IF LINNÉA,40-44,1900-01-01 02:44:40,2023,164.66666666666666
159,23,"Paska, Krzysztof (POL)",1185,Patryk Bogucki - Strefa Biegania,40-44,1900-01-01 02:44:43,2023,164.71666666666667
160,37,"Stavrou, Aristofanis (GRE)",1312,GAS ILISOS,<30,1900-01-01 02:44:49,2023,164.81666666666666
161,57,"Wax, Nils (GER)",1105,LT Haspa Marathon Hamburg,30-34,1900-01-01 02:44:51,2023,164.85
162,24,"Larvia, Anders (SWE)",1143,IFK Umeå,40-44,1900-01-01 02:44:53,2023,164.88333333333333
163,58,"Sandager Hansen, Jonatan (DEN)",1170,Sparta Team JP,30-34,1900-01-01 02:44:53,2023,164.88333333333333
164,59,"Robben, Frank (DEN)",1214,Sparta,30-34,1900-01-01 02:44:55,2023,164.91666666666666
165,31,"Schermuly, Frederik (GER)",1344,LT Haspa Marathon Hamburg,35-39,1900-01-01 02:44:56,2023,164.93333333333334
166,25,"Prof. Dr. Knudsen, Rune (DEN)",1059,Nordtrim,40-44,1900-01-01 02:44:56,2023,164.93333333333334
167,38,"Gao, Tony (USA)",1181,DWRunning,<30,1900-01-01 02:44:57,2023,164.95
168,26,"Voll, Philip (GER)",1189,–,40-44,1900-01-01 02:45:06,2023,165.1
169,60,"Evans, David (GBR)",1211,Serpentine RC,30-34,1900-01-01 02:45:11,2023,165.18333333333334
170,32,"Kearney, David (IRL)",2425,–,35-39,1900-01-01 02:45:13,2023,165.21666666666667
171,39,"Tretow, Pablo (GER)",1243,–,<30,1900-01-01 02:45:16,2023,165.26666666666668
172,27,"Kellermann, Jannis (GER)",1165,Turnerbund Hamburg Eilbeck,40-44,1900-01-01 02:45:24,2023,165.4
173,7,"Riis-Hansen, Carl-Frederik (DEN)",1361,–,45-49,1900-01-01 02:45:25,2023,165.41666666666666
174,28,"Bech Safft, Kristian (DEN)",1164,Runners United,40-44,1900-01-01 02:45:26,2023,165.43333333333334
175,33,"Passera, Alessio (ITA)",1147,Läufer Club Bozen,35-39,1900-01-01 02:45:30,2023,165.5
176,34,"Rudnik, Stefan (GER)",1364,–,35-39,1900-01-01 02:45:31,2023,165.51666666666668
177,61,"Brandt, Christopher (GER)",1091,OSC Berlin,30-34,1900-01-01 02:45:34,2023,165.56666666666666
178,35,"Petrosyan, Narek (GER)",1240,–,35-39,1900-01-01 02:45:37,2023,165.61666666666667
179,8,"Dr. Eliades, Chrysostomos (CYP)",1139,APOEL RUNNERS CYPRUS,45-49,1900-01-01 02:45:42,2023,165.7
180,29,"Profe, Frank (GER)",1179,Strandhotel Seerose,40-44,1900-01-01 02:45:50,2023,165.83333333333334
181,36,"Sjut, Christopher (GER)",1125,Schuhhaus Sjut,35-39,1900-01-01 02:45:52,2023,165.86666666666667
182,30,"Polzin, Thomas (GER)",1593,Reha Bergedorf,40-44,1900-01-01 02:45:55,2023,165.91666666666666
183,37,"Borgers, Felix (GER)",1133,FC St. Pauli Triathlon,35-39,1900-01-01 02:46:07,2023,166.11666666666667
184,38,"Dieckmann, Lukas (GER)",1284,Laufwerk Hamburg,35-39,1900-01-01 02:46:22,2023,166.36666666666667
185,62,"Jeßen, Sören (GER)",1085,LT Haspa Marathon Hamburg,30-34,1900-01-01 02:46:27,2023,166.45
186,39,"Mischin, Artem (GER)",15312,–,35-39,1900-01-01 02:46:36,2023,166.6
187,40,"Czoschke, René (GER)",1504,–,35-39,1900-01-01 02:46:56,2023,166.93333333333334
188,63,"Dr. Konieczny, Adam (POL)",1031,Hamburger SV,30-34,1900-01-01 02:46:56,2023,166.93333333333334
189,41,"Laursen, Flemming (DEN)",1260,Team Triathlon Herning,35-39,1900-01-01 02:46:59,2023,166.98333333333332
190,9,"Karkkimaa, Frans (FIN)",1453,Helsingin Jyry,45-49,1900-01-01 02:47:00,2023,167.0
191,31,"Reinsberg, Klaus (GER)",1246,–,40-44,1900-01-01 02:47:10,2023,167.16666666666666
192,10,"Kemper, Nils (GER)",2017,RehmeXpress,45-49,1900-01-01 02:47:14,2023,167.23333333333332
193,11,"Scharnewski Ulltang, Alexander (NOR)",1137,Sky Blazers,45-49,1900-01-01 02:47:23,2023,167.38333333333333
194,42,"Cheriaux, Yolan (FRA)",1229,–,35-39,1900-01-01 02:47:26,2023,167.43333333333334
195,32,"Kovermann, Michael (GER)",1083,Universität Konstanz,40-44,1900-01-01 02:47:26,2023,167.43333333333334
196,12,"Scharnewski, Sascha Michel (GER)",1194,Fischer-Mohr-Laufteam,45-49,1900-01-01 02:47:33,2023,167.55
197,40,"Nibbenhagen, Linus (GER)",1459,Lauftreff Lüdinghausen,<30,1900-01-01 02:47:36,2023,167.6
198,64,"Ringås, Mads (NOR)",1247,–,30-34,1900-01-01 02:47:41,2023,167.68333333333334
199,33,"Malten, Björn (GER)",1536,–,40-44,1900-01-01 02:47:47,2023,167.78333333333333
200,43,"Conrad, Fabian (GER)",1138,Team twenty.six e.v,35-39,1900-01-01 02:47:54,2023,167.9
201,65,"Lukomski, Krzysztof (POL)",1252,–,30-34,1900-01-01 02:48:03,2023,168.05
202,13,"Wieland, Jens (GER)",1285,–,45-49,1900-01-01 02:48:06,2023,168.1
203,6,"Schlegel, Steffen (GER)",1273,–,50-54,1900-01-01 02:48:21,2023,168.35
204,34,"Kucher, René (GER)",1201,LG Neckar-Enz,40-44,1900-01-01 02:48:22,2023,168.36666666666667
205,44,"Simonetti, Willy (FRA)",1413,–,35-39,1900-01-01 02:48:25,2023,168.41666666666666
206,66,"Kronberger, Peter (AUT)",1457,Kona Endurance,30-34,1900-01-01 02:48:30,2023,168.5
207,35,"Büchner, Dennis (GER)",2066,Namban Rengo,40-44,1900-01-01 02:48:32,2023,168.53333333333333
208,36,"Rauch, Philipp (GER)",15317,FC St. Pauli Triathlon,40-44,1900-01-01 02:48:36,2023,168.6
209,45,"Huja, Shimon (ISR)",1098,–,35-39,1900-01-01 02:48:42,2023,168.7
210,67,"Scharff, Nils (GER)",1242,–,30-34,1900-01-01 02:48:44,2023,168.73333333333332
211,46,"Weininger, Sascha (GER)",1333,Team OptiMove,35-39,1900-01-01 02:48:45,2023,168.75
212,37,"Jäger, René (GER)",1128,TV Lohnde,40-44,1900-01-01 02:48:58,2023,168.96666666666667
213,47,"Braun, Sören (GER)",1470,PV Triathlon TG Witten,35-39,1900-01-01 02:49:05,2023,169.08333333333334
214,38,"Waldburger, Maik (GER)",1451,Groß Woltersdorf,40-44,1900-01-01 02:49:05,2023,169.08333333333334
215,48,"Callsen-Bracker, Mario (GER)",15605,–,35-39,1900-01-01 02:49:06,2023,169.1
216,68,"Schlamelcher, Christian (GER)",1119,Hannover 96,30-34,1900-01-01 02:49:06,2023,169.1
217,49,"Szymczak, Wojciech (POL)",1430,PARAGRAF,35-39,1900-01-01 02:49:36,2023,169.6
218,50,"Lamparski, Slawomir (POL)",2157,Hapag-Lloyd Running Crew KC Gdansk,35-39,1900-01-01 02:49:40,2023,169.66666666666666
219,51,"Hahn, Andi (AUT)",1514,–,35-39,1900-01-01 02:49:44,2023,169.73333333333332
220,39,"Maher, Sam (IRL)",15311,–,40-44,1900-01-01 02:49:46,2023,169.76666666666668
221,69,"Oberhollenzer, Michael (ITA)",2103,–,30-34,1900-01-01 02:49:48,2023,169.8
222,52,"Rindlisbacher, Oscar (FRA)",15612,Sisu Berlin,35-39,1900-01-01 02:49:55,2023,169.91666666666666
223,70,"Miller, Peter (USA)",15321,–,30-34,1900-01-01 02:49:58,2023,169.96666666666667
224,53,"Høeg, Søren (DEN)",1245,–,35-39,1900-01-01 02:49:59,2023,169.98333333333332
225,71,"Gerloff, Phillip (GER)",2020,–,30-34,1900-01-01 02:50:04,2023,170.06666666666666
226,72,"Kirk, David (GBR)",1317,Invincible's,30-34,1900-01-01 02:50:12,2023,170.2
227,54,"Witkowski, Radoslaw (POL)",1531,–,35-39,1900-01-01 02:50:13,2023,170.21666666666667
228,55,"Vascalup, Vladimir (GER)",1289,–,35-39,1900-01-01 02:50:14,2023,170.23333333333332
229,41,"Lanfer, Julian (GER)",1329,Running Crew Münster,<30,1900-01-01 02:50:18,2023,170.3
230,56,"van Erp, Ad (NED)",15315,–,35-39,1900-01-01 02:50:21,2023,170.35
231,73,"Hand, Sören (GER)",1203,LSF Münster,30-34,1900-01-01 02:50:22,2023,170.36666666666667
232,57,"Danelak, Pierre (GER)",1055,Braunschweiger Laufclub,35-39,1900-01-01 02:50:33,2023,170.55
233,7,"Dier, Igor (GER)",2085,SSV Ulm 1846 e. V.,50-54,1900-01-01 02:50:35,2023,170.58333333333334
234,74,"Bolwin, Johannes (GER)",2255,RSC Kempten,30-34,1900-01-01 02:50:45,2023,170.75
235,58,"Mauritsson, Sebastian (SWE)",1355,–,35-39,1900-01-01 02:50:51,2023,170.85
236,59,"Buchleitner, Peter (AUT)",15309,LT Haspa Marathon Hamburg,35-39,1900-01-01 02:50:58,2023,170.96666666666667
237,75,"Willer, Maximilian (GER)",1186,Team Haspa,30-34,1900-01-01 02:51:04,2023,171.06666666666666
238,40,"Zingsem, Christian (GER)",1279,Mönchengladbacher LG,40-44,1900-01-01 02:51:05,2023,171.08333333333334
239,60,"Steinebel, Sergej (GER)",2028,ACTIVE Sportshop Osnabrück,35-39,1900-01-01 02:51:08,2023,171.13333333333333
240,76,"Wagner, Kai (GER)",1492,Turnerbund Hamburg Eilbeck,30-34,1900-01-01 02:51:12,2023,171.2
241,61,"Durand, Sébastien (FRA)",1493,TV Waldstraße Wiesbaden,35-39,1900-01-01 02:51:28,2023,171.46666666666667
242,2,"Schneider, Günter (AUT)",1213,SK Rueckenwind,55-59,1900-01-01 02:51:30,2023,171.5
243,42,"Oftedal, Sivert (NOR)",1324,MHI Friidrett,<30,1900-01-01 02:51:31,2023,171.51666666666668
244,41,"Jensen, Jakob (DEN)",1222,Team Triathlon Herning,40-44,1900-01-01 02:51:35,2023,171.58333333333334
